00-00-00-00,1.8837156,0,0
00-00-00-02,3.7599969,0,0
00-00-00-04,5.6214395,0,0
00-00-00-06,7.4606967,0,0
00-00-00-08,9.2705097,0,0
00-00-00-10,11.043736,0,0
00-00-00-12,12.773378,0,0
00-00-00-14,14.45261,0,0
00-00-00-16,16.074804,0,0
00-00-00-18,17.633558,0,0
00-00-00-20,19.122719,0,0
00-00-00-22,20.536413,0,0
00-00-00-24,21.869059,0,0
00-00-00-26,23.115396,0,0
00-00-00-28,24.27051,0,0
00-00-00-30,25.329838,0,0
00-00-00-32,26.2892,0,0
00-00-00-34,27.144812,0,0
00-00-00-36,27.893295,0,0
00-00-00-38,28.531696,0,0
00-00-00-40,29.057495,0,0
00-00-00-42,29.468618,0,0
00-00-00-44,29.763441,0,0
00-00-00-46,29.940802,0,0
00-00-00-48,30,0,0
00-00-00-50,29.940802,0,0
00-00-00-52,29.763441,0,0
00-00-00-54,29.468618,0,0
00-00-00-56,29.057495,0,0
00-00-00-58,28.531696,0,0
00-00-00-60,27.893295,0,0
00-00-00-62,27.144812,0,0
00-00-00-64,26.2892,0,0
00-00-00-66,25.329838,0,0
00-00-00-68,24.27051,0,0
00-00-00-70,23.115396,0,0
00-00-00-72,21.869059,0,0
00-00-00-74,20.536413,0,0
00-00-00-76,19.122719,0,0
00-00-00-78,17.633558,0,0
00-00-00-80,16.074804,0,0
00-00-00-82,14.45261,0,0
00-00-00-84,12.773378,0,0
00-00-00-86,11.043736,0,0
00-00-00-88,9.2705097,0,0
00-00-00-90,7.4606967,0,0
00-00-00-92,5.6214395,0,0
00-00-00-94,3.7599969,0,0
00-00-00-96,1.8837156,0,0
00-00-00-98,0,0,0
00-00-01-00,-1.8837156,0,0
00-00-01-02,-3.7599969,0,0
00-00-01-04,-5.6214395,0,0
00-00-01-06,-7.4606967,0,0
00-00-01-08,-9.2705097,0,0
00-00-01-10,-11.043736,0,0
00-00-01-12,-12.773378,0,0
00-00-01-14,-14.45261,0,0
00-00-01-16,-16.074804,0,0
00-00-01-18,-17.633558,0,0
00-00-01-20,-19.122719,0,0
00-00-01-22,-20.536413,0,0
00-00-01-24,-21.869059,0,0
00-00-01-26,-23.115396,0,0
00-00-01-28,-24.27051,0,0
00-00-01-30,-25.329838,0,0
00-00-01-32,-26.2892,0,0
00-00-01-34,-27.144812,0,0
00-00-01-36,-27.893295,0,0
00-00-01-38,-28.531696,0,0
00-00-01-40,-29.057495,0,0
00-00-01-42,-29.468618,0,0
00-00-01-44,-29.763441,0,0
00-00-01-46,-29.940802,0,0
00-00-01-48,-30,0,0
00-00-01-50,-29.940802,0,0
00-00-01-52,-29.763441,0,0
00-00-01-54,-29.468618,0,0
00-00-01-56,-29.057495,0,0
00-00-01-58,-28.531696,0,0
00-00-01-60,-27.893295,0,0
00-00-01-62,-27.144812,0,0
00-00-01-64,-26.2892,0,0
00-00-01-66,-25.329838,0,0
00-00-01-68,-24.27051,0,0
00-00-01-70,-23.115396,0,0
00-00-01-72,-21.869059,0,0
00-00-01-74,-20.536413,0,0
00-00-01-76,-19.122719,0,0
00-00-01-78,-17.633558,0,0
00-00-01-80,-16.074804,0,0
00-00-01-82,-14.45261,0,0
00-00-01-84,-12.773378,0,0
00-00-01-86,-11.043736,0,0
00-00-01-88,-9.2705097,0,0
00-00-01-90,-7.4606967,0,0
00-00-01-92,-5.6214395,0,0
00-00-01-94,-3.7599969,0,0
00-00-01-96,-1.8837156,0,0
00-00-01-98,0,0,0
